epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2794.13,1.37612,0.89551,1.24913,0.75726,0.80272,0.81426,0.41388,1.63149,1.26588,1.44935,0.0013664,0.0013664,0.0013664
66,2835.51,1.35018,0.85129,1.25576,0.82891,0.81633,0.87486,0.46671,1.61501,0.95407,1.41784,0.0013565,0.0013565,0.0013565
67,2879.86,1.3617,0.88417,1.26347,0.79383,0.89055,0.8859,0.44935,1.60913,0.97153,1.42046,0.0013466,0.0013466,0.0013466
68,2933.62,1.35555,0.86326,1.25163,0.83982,0.78467,0.86625,0.48469,1.56237,0.9794,1.4032,0.0013367,0.0013367,0.0013367
69,2976.39,1.34458,0.8466,1.25051,0.86554,0.80272,0.87645,0.44312,1.70857,1.01795,1.49284,0.0013268,0.0013268,0.0013268
70,3020.78,1.33843,0.85263,1.23719,0.80449,0.83673,0.89651,0.4998,1.50091,0.94459,1.36431,0.0013169,0.0013169,0.0013169
71,3068.3,1.40661,0.895,1.26169,0.86188,0.76871,0.81621,0.41217,1.73145,1.04505,1.50955,0.001307,0.001307,0.001307
72,3112.6,1.35573,0.86789,1.24166,0.84823,0.79844,0.90085,0.49567,1.5768,0.90098,1.41498,0.0012971,0.0012971,0.0012971
73,3157.29,1.3393,0.85696,1.25702,0.85834,0.86557,0.93151,0.52131,1.50416,0.90526,1.37485,0.0012872,0.0012872,0.0012872
74,3202.59,1.34226,0.8436,1.25272,0.8602,0.83716,0.89342,0.47966,1.57991,0.96993,1.4142,0.0012773,0.0012773,0.0012773
75,3247.53,1.36012,0.88207,1.27582,0.82216,0.81633,0.86785,0.4782,1.53551,0.94955,1.3835,0.0012674,0.0012674,0.0012674
76,3295.99,1.36203,0.85221,1.25018,0.72558,0.88435,0.88457,0.46014,1.64942,0.93733,1.41559,0.0012575,0.0012575,0.0012575
77,3343.58,1.29694,0.81286,1.22427,0.84361,0.8807,0.90879,0.47911,1.62157,0.91855,1.44309,0.0012476,0.0012476,0.0012476
78,3388.77,1.32966,0.8372,1.25259,0.80795,0.87075,0.88123,0.46632,1.64851,0.99769,1.48508,0.0012377,0.0012377,0.0012377
79,3432.06,1.3689,0.83535,1.2566,0.84204,0.83407,0.89644,0.48336,1.59753,0.89401,1.45102,0.0012278,0.0012278,0.0012278
80,3480.36,1.34137,0.84538,1.23271,0.85765,0.78912,0.89202,0.49059,1.52574,0.95118,1.4101,0.0012179,0.0012179,0.0012179
81,3526.95,1.32868,0.82999,1.23912,0.85904,0.83673,0.91227,0.52819,1.49498,0.86601,1.35855,0.001208,0.001208,0.001208
82,3572.7,1.2865,0.7971,1.19761,0.86497,0.78231,0.87733,0.48196,1.60732,0.94154,1.4617,0.0011981,0.0011981,0.0011981
83,3618.2,1.28969,0.80976,1.22067,0.85201,0.78327,0.87599,0.46007,1.58884,0.95886,1.40364,0.0011882,0.0011882,0.0011882
84,3666.05,1.29451,0.80676,1.2072,0.72878,0.65986,0.73937,0.36043,1.73654,1.19878,1.46808,0.0011783,0.0011783,0.0011783
85,3710.23,1.24878,0.77597,1.18604,0.76326,0.84354,0.86774,0.47191,1.64108,0.95324,1.39753,0.0011684,0.0011684,0.0011684
86,3753.2,1.3116,0.80411,1.21788,0.83193,0.87552,0.89878,0.48408,1.57079,0.8761,1.41004,0.0011585,0.0011585,0.0011585
87,3799.46,1.28984,0.81483,1.20834,0.70917,0.74646,0.78404,0.41513,1.59576,1.17427,1.41459,0.0011486,0.0011486,0.0011486
88,3847.49,1.3003,0.82041,1.22474,0.84925,0.80272,0.86957,0.44379,1.66344,0.96244,1.45947,0.0011387,0.0011387,0.0011387
89,3894.66,1.34824,0.81926,1.23618,0.86085,0.90476,0.92366,0.51427,1.5936,0.78726,1.44183,0.0011288,0.0011288,0.0011288
90,3942.19,1.28565,0.77038,1.22416,0.81491,0.88435,0.92612,0.47577,1.60713,0.87282,1.4218,0.0011189,0.0011189,0.0011189
91,3985.17,1.34188,0.82545,1.22921,0.84519,0.77993,0.87638,0.46017,1.64811,0.92214,1.44027,0.001109,0.001109,0.001109
92,4029.49,1.2638,0.78702,1.21222,0.88086,0.855,0.905,0.50509,1.51791,0.91082,1.33726,0.0010991,0.0010991,0.0010991
93,4072.18,1.2874,0.7941,1.2017,0.81946,0.80281,0.89037,0.48058,1.57742,0.89537,1.39902,0.0010892,0.0010892,0.0010892
94,4114.86,1.29967,0.79,1.20184,0.85808,0.89116,0.92543,0.50676,1.55261,0.83583,1.3918,0.0010793,0.0010793,0.0010793
95,4157.24,1.28519,0.78191,1.20381,0.86039,0.87755,0.92771,0.53069,1.53458,0.84661,1.40469,0.0010694,0.0010694,0.0010694
96,4201.98,1.2722,0.78765,1.19433,0.8649,0.87099,0.91819,0.50353,1.56904,0.87145,1.39088,0.0010595,0.0010595,0.0010595
97,4244.83,1.25888,0.73962,1.20977,0.87543,0.83673,0.89643,0.49764,1.59121,0.84319,1.41147,0.0010496,0.0010496,0.0010496
98,4287.8,1.28171,0.77537,1.19149,0.83101,0.83632,0.88367,0.48651,1.56641,0.88233,1.39687,0.0010397,0.0010397,0.0010397
99,4330.61,1.24004,0.76453,1.18469,0.83544,0.8634,0.89605,0.50058,1.5714,0.8494,1.38838,0.0010298,0.0010298,0.0010298
100,4375.94,1.2654,0.75948,1.18681,0.8256,0.85034,0.90246,0.50445,1.56176,0.8417,1.39482,0.0010199,0.0010199,0.0010199
101,4418.91,1.28345,0.7889,1.20109,0.82963,0.89116,0.90077,0.50586,1.50422,0.85468,1.39195,0.00101,0.00101,0.00101
102,4461.33,1.21477,0.74657,1.18248,0.85557,0.89116,0.91597,0.50245,1.58303,0.82573,1.43664,0.0010001,0.0010001,0.0010001
103,4503.7,1.20316,0.72596,1.19087,0.86574,0.8773,0.91512,0.52589,1.46294,0.84272,1.34171,0.0009902,0.0009902,0.0009902
104,4548.69,1.24592,0.72306,1.16272,0.84886,0.84056,0.91304,0.50796,1.53014,0.826,1.36945,0.0009803,0.0009803,0.0009803
